baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,shared_attention_accounting_mode,shared_attention_prediction_stat,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,adaptive_policy_mix_apc,adaptive_policy_mix_pat,adaptive_policy_mix_waferagent,adaptive_wrong_choice_count,adaptive_non_worse_fraction,adaptive_effective_run_policy,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,cross_job_prefix_hit_rate_observed
apc_like,2.0,30,2.2547847438104784,3030.4306956812834,49.17049247446664,49.17049247446721,49.17049247446721,2.4458989998274774,2.4458989998274774,2.4458989998274774,0.18081099982708793,0.18081099982708793,0.18081099982708793,42.94987296000001,0.0,0.0,0.0,0.5,22.0,0.0,64424509440.0,1.0,23040.0,15360.0,0.009814671359999999,0.012884901888,0.000201326592,0.0,0.000763363328,128849018880.0,128849018880.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,2576.9803776,0.0,cohort_stage,latency_p50_ms,128849018880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.91261440000002,2013265920.0,2013265920.0,0.0,5.232146009802818,14.189986512064934,0.052191317081451416,0.09163748472929001,8.710457943379879,72.40262161940336,2.4134207206467786,0.04908270385740034,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
apc_like_with_affinity_placement,2.0,30,2.2547847438104784,3030.4306956812834,49.17049247446664,49.17049247446721,49.17049247446721,2.4458989998274774,2.4458989998274774,2.4458989998274774,0.18081099982708793,0.18081099982708793,0.18081099982708793,42.94987296000001,0.0,0.0,0.0,0.5,22.0,0.0,64424509440.0,1.0,23040.0,15360.0,0.009814671359999999,0.012884901888,0.000201326592,0.0,0.000763363328,128849018880.0,128849018880.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,2576.9803776,0.0,cohort_stage,latency_p50_ms,128849018880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.91261440000002,2013265920.0,2013265920.0,0.0,5.189276300370693,15.085950493812561,0.03453250974416733,0.08273683488368988,8.506953716278076,68.28664802014828,2.2762216006716094,0.04629243040129423,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
pat_like_traffic_only,2.0,30,2.254750850625018,3030.385143240024,49.37049247446703,49.37049247446703,49.37049247446703,2.6458989998272955,2.645898999828205,2.645898999828205,0.18081099982708793,0.18081099982708793,0.18081099982708793,42.94987296000001,0.0,0.0,0.0,0.5,22.0,0.0,64424509440.0,1.0,23040.0,15360.0,0.009814671359999999,0.012884901888,0.000201326592,0.0,0.000763363328,128849018880.0,128849018880.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,2576.9803776,0.0,cohort_stage,latency_p50_ms,128849018880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.91261440000002,2013265920.0,2013265920.0,0.0,5.302837118506432,14.6247623488307,0.03103632479906082,0.13014767318964005,8.910431526601315,68.73293407261372,2.2910978024204574,0.046406217308959406,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
pat_like_with_affinity_placement,2.0,30,2.254750850625018,3030.385143240024,49.37049247446703,49.37049247446703,49.37049247446703,2.6458989998272955,2.645898999828205,2.645898999828205,0.18081099982708793,0.18081099982708793,0.18081099982708793,42.94987296000001,0.0,0.0,0.0,0.5,22.0,0.0,64424509440.0,1.0,23040.0,15360.0,0.009814671359999999,0.012884901888,0.000201326592,0.0,0.000763363328,128849018880.0,128849018880.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,2576.9803776,0.0,cohort_stage,latency_p50_ms,128849018880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.91261440000002,2013265920.0,2013265920.0,0.0,5.265909247100353,15.065619722008705,0.03169570118188858,0.12799818068742752,8.924691937863827,68.71912349015474,2.290637449671825,0.046396892857742504,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
waferagent_adaptive,2.0,30,2.2617747975836324,3039.825327952402,8.051039994466919,8.051039994466919,8.051039994466919,0.6154785198268655,0.615478519827775,0.615478519827775,0.18081099982708793,0.18081099982708793,0.18081099982708793,0.0,0.0,0.0,0.0,0.6066666666666667,51.0,0.0,0.0,1.0,23040.0,15360.0,0.009814671359999999,0.0,0.006643777536,0.0,0.0005486149631999999,128849018880.0,128849018880.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,2576.9803776,0.0,cohort_stage,latency_p50_ms,128849018880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.91261440000002,130929393664.0,1946157056.0,0.0,5.410139448940754,14.831631444394588,0.03052409738302231,0.09170174598693848,8.825250901281834,71.16523571312428,2.372174523770809,0.29464199971694216,0.0,0.0,1.0,0.0,1.0,per_prefix_mixed,1,512,128,32,2,0.0
waferagent_latency_safe,2.0,30,2.2617747975836324,3039.825327952402,8.051039994466919,8.051039994466919,8.051039994466919,0.6154785198268655,0.615478519827775,0.615478519827775,0.18081099982708793,0.18081099982708793,0.18081099982708793,0.0,0.0,0.0,0.0,0.6066666666666667,51.0,0.0,0.0,1.0,23040.0,15360.0,0.009814671359999999,0.0,0.006643777536,0.0,0.0005486149631999999,128849018880.0,128849018880.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,2576.9803776,0.0,cohort_stage,latency_p50_ms,128849018880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.91261440000002,130929393664.0,1946157056.0,0.0,5.294983275234699,14.976426027715206,0.03481563180685043,0.09525101631879807,8.47858376801014,69.15991753339767,2.305330584446589,0.28633947738813015,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
waferagent_no_affinity_placement,2.0,30,2.2617747975836324,3039.825327952402,8.051039994466919,8.051039994466919,8.051039994466919,0.6154785198268655,0.615478519827775,0.615478519827775,0.18081099982708793,0.18081099982708793,0.18081099982708793,0.0,0.0,0.0,0.0,0.6066666666666667,51.0,0.0,0.0,1.0,23040.0,15360.0,0.009814671359999999,0.0,0.006643777536,0.0,0.0005486149631999999,128849018880.0,128849018880.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,2576.9803776,0.0,cohort_stage,latency_p50_ms,128849018880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.91261440000002,130929393664.0,1946157056.0,0.0,5.199381150305271,14.59168829023838,0.033602118492126465,0.09216368198394775,8.42465553432703,68.43056436628103,2.2810188122093678,0.2833197715794483,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
waferagent_no_decode_cohort,2.0,30,2.2617747975836324,3039.825327952402,8.051039994466919,8.051039994466919,8.051039994466919,0.6154785198268655,0.615478519827775,0.615478519827775,0.18081099982708793,0.18081099982708793,0.18081099982708793,0.0,0.0,0.0,0.0,0.6066666666666667,51.0,0.0,0.0,1.0,23040.0,15360.0,0.009814671359999999,0.0,0.006643777536,0.0,0.0005486149631999999,128849018880.0,128849018880.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,2576.9803776,0.0,cohort_stage,latency_p50_ms,128849018880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.91261440000002,130929393664.0,1946157056.0,0.0,5.245231091976166,14.754051342606544,0.03477092832326889,0.0791158527135849,8.405551314353943,68.57972498983145,2.2859908329943814,0.28393733412893646,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
waferagent_no_kv_sharing,2.0,30,2.2617747975836324,3039.825327952402,8.051039994466919,8.051039994466919,8.051039994466919,2.4458989998274774,2.4458989998274774,2.4458989998274774,0.18081099982708793,0.18081099982708793,0.18081099982708793,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,1.0,38400.0,0.0,0.01585446912,0.0,0.00025165824,0.0,0.000536870912,128849018880.0,128849018880.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,2576.9803776,0.0,cohort_stage,latency_p50_ms,128849018880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5033164800.0,0.0,5.258917808532715,15.104196965694427,0.03449711948633194,0.0805296003818512,8.617142215371132,68.93852446228266,2.297950815409422,0.2854228543130692,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
waferagent_no_shared_kv_placement,2.0,30,2.2617747975836324,3039.825327952402,8.051039994466919,8.051039994466919,8.051039994466919,0.6154785198268655,0.615478519827775,0.615478519827775,0.18081099982708793,0.18081099982708793,0.18081099982708793,0.0,0.0,0.0,0.0,0.5,22.0,0.0,0.0,1.0,23040.0,15360.0,0.009814671359999999,0.0,0.000201326592,0.0,0.00033386659839999995,128849018880.0,128849018880.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,2576.9803776,0.0,cohort_stage,latency_p50_ms,128849018880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.91261440000002,2013265920.0,2013265920.0,0.0,5.2326750010252,15.417718328535557,0.03210734575986862,0.09221024811267853,8.209269493818283,68.82593501359224,2.294197833786408,0.28495670563841435,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
