claim,status,primary_metric,baseline,waferagent_value,comparison_value,delta_pct,threshold,evidence_file,figure_id,notes
Existing prefix cache gap,supported,decode_shared_kv_read_bytes,apc_like,28969554411428.0,35540854374400.0,-18.48942598213197,<= -5%,existing_cache_gap_summary.csv,Fig2,APC-like saves prefill but leaves decode-side shared-KV reads high.
Global serving tail latency in synthetic trace-driven simulation,supported,mean_jct_p99_ms,apc_like,5503.19166133593,29358.29083459689,-81.25506797265335,<= -5%,global_simulation_summary.csv,Fig4,Trace-driven wafer-scale simulator; not real wafer hardware.
H100 shared-attention fit validation,supported,heldout_mape,validation_threshold,0.19560321044313897,0.25,,"<= 0.25 for p50 prediction, otherwise conservative p90",shared_attention_fit_quality.json,Fig3,leave-one-row nearest-neighbor validation; use latency_p90_ms when heldout MAPE exceeds 25%
Accounting sensitivity,supported,max_abs_jct_p99_delta_pct_stage_amortized_vs_cohort_stage,cohort_stage,0.0025645256933194463,10.0,,<= 10%,accounting_delta.csv,Fig8,Main paper mode is cohort_stage or conservative accounting.
Adaptive non-worse controlled regimes,supported,max_waferagent_adaptive_vs_apc_jct_p99_delta_pct,apc_like,0.0,0.05,,<= 0.05 in every controlled regime,controlled_regime_classification.csv,Fig6,Adaptive policy should fall back when WaferAgent mechanisms are not beneficial.
Controlled high-reuse beneficial regime,supported,num_waferagent_latency_beneficial_regimes,controlled_regime_grid,8.0,72.0,,>= 1 beneficial regime,controlled_regime_classification.csv,Fig7,"If failed, end-to-end latency claim must be narrowed to traffic reduction/preliminary serving gains."
Held-out adaptive policy validation,supported,test_fraction_non_worse_than_apc_within_5pct,apc_like,1.0,0.95,,>= 0.95 and max slowdown <= 0.10,policy_prediction_eval.csv,Fig5,Config-level train/validation/test split; adaptive is judged on held-out controlled regimes.
Per-object adaptive policy mix,supported,num_distinct_policies_in_waferagent_adaptive_run,waferagent_adaptive,2.0,2.0,,>= 2 policies in one adaptive run,policy_summary.csv,Fig5,Verifies adaptive execution is not a run-level baseline replacement.
Mechanism attribution,supported,benefit_source_classification,controlled_ablation_variants,72.0,72.0,,beneficial regimes cannot all be unexplained,mechanism_attribution_summary.csv,Fig6,"Separates shared-KV decode, placement/mesh, prefill-cache, and mixed benefits."
Persistent replication / transient staging headline,demoted,jct_p99_delta_pct_transient_vs_no_staging,waferagent_latency_safe_no_staging,0.0,-5.0,0.0,<= -5% required for headline,transient_staging_summary.csv,Appendix,Persistent replication remains demoted unless staging/replication has clear p99 or traffic benefit.
