job_id,workload,node_id,input_tokens,output_tokens,shared_prefix_token_len,private_prefix_token_len,shared_prefix_ratio
debate_job_0,debate,debate_job_0_r0_proposer_0,2049,128,1024,1025,0.4997559785261103
debate_job_0,debate,debate_job_0_r0_proposer_1,2049,128,1024,1025,0.4997559785261103
debate_job_0,debate,debate_job_0_r0_proposer_2,2049,128,1024,1025,0.4997559785261103
debate_job_0,debate,debate_job_0_r0_proposer_3,2049,128,1024,1025,0.4997559785261103
debate_job_0,debate,debate_job_0_r0_critic_0,2177,128,1088,1089,0.4997703261368856
debate_job_0,debate,debate_job_0_r0_critic_1,2177,128,1088,1089,0.4997703261368856
debate_job_0,debate,debate_job_0_r0_critic_2,2177,128,1088,1089,0.4997703261368856
debate_job_0,debate,debate_job_0_r0_critic_3,2177,128,1088,1089,0.4997703261368856
debate_job_0,debate,debate_job_0_r0_judge,2560,64,1280,1280,0.5
moa_job_0,moa,moa_job_0_l0_agent_0,2049,128,1024,1025,0.4997559785261103
moa_job_0,moa,moa_job_0_l0_agent_1,2049,128,1024,1025,0.4997559785261103
moa_job_0,moa,moa_job_0_l0_agent_2,2049,128,1024,1025,0.4997559785261103
moa_job_0,moa,moa_job_0_l0_agent_3,2049,128,1024,1025,0.4997559785261103
moa_job_0,moa,moa_job_0_l1_agent_0,2561,128,1280,1281,0.4998047637641546
moa_job_0,moa,moa_job_0_l1_agent_1,2561,128,1280,1281,0.4998047637641546
moa_job_0,moa,moa_job_0_l1_agent_2,2561,128,1280,1281,0.4998047637641546
moa_job_0,moa,moa_job_0_l1_agent_3,2561,128,1280,1281,0.4998047637641546
moa_job_0,moa,moa_job_0_l2_agent_0,2561,64,1280,1281,0.4998047637641546
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_planner,2049,128,1024,1025,0.4997559785261103
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_worker_0_start,2049,128,1024,1025,0.4997559785261103
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_worker_1_start,2049,128,1024,1025,0.4997559785261103
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_worker_2_start,2049,128,1024,1025,0.4997559785261103
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_worker_3_start,2049,128,1024,1025,0.4997559785261103
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_worker_0_tool_0,32,16,16,16,0.5
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_worker_1_tool_0,32,16,16,16,0.5
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_worker_2_tool_0,32,16,16,16,0.5
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_worker_3_tool_0,32,16,16,16,0.5
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_worker_0_after_tool_0,2113,128,1056,1057,0.4997633696166588
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_worker_1_after_tool_0,2113,128,1056,1057,0.4997633696166588
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_worker_2_after_tool_0,2113,128,1056,1057,0.4997633696166588
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_worker_3_after_tool_0,2113,128,1056,1057,0.4997633696166588
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_planner_aggregate,2561,128,1280,1281,0.4998047637641546
planner_worker_tool_job_0,planner_worker_tool,planner_worker_tool_job_0_final,2049,64,1024,1025,0.4997559785261103
swe_like_job_0,swe_like,swe_like_job_0_planner,2049,128,1024,1025,0.4997559785261103
swe_like_job_0,swe_like,swe_like_job_0_reader_0,2049,128,1024,1025,0.4997559785261103
swe_like_job_0,swe_like,swe_like_job_0_reader_1,2049,128,1024,1025,0.4997559785261103
swe_like_job_0,swe_like,swe_like_job_0_reader_2,2049,128,1024,1025,0.4997559785261103
swe_like_job_0,swe_like,swe_like_job_0_reader_3,2049,128,1024,1025,0.4997559785261103
swe_like_job_0,swe_like,swe_like_job_0_patch_proposer,2561,256,1280,1281,0.4998047637641546
swe_like_job_0,swe_like,swe_like_job_0_reviewer,2049,64,1024,1025,0.4997559785261103
swe_like_job_0,swe_like,swe_like_job_0_final_patch_summary,2049,64,1024,1025,0.4997559785261103
rag_like_job_0,rag_like,rag_like_job_0_retriever,64,128,32,32,0.5
rag_like_job_0,rag_like,rag_like_job_0_domain_0,2177,128,1088,1089,0.4997703261368856
rag_like_job_0,rag_like,rag_like_job_0_domain_1,2177,128,1088,1089,0.4997703261368856
rag_like_job_0,rag_like,rag_like_job_0_domain_2,2177,128,1088,1089,0.4997703261368856
rag_like_job_0,rag_like,rag_like_job_0_domain_3,2177,128,1088,1089,0.4997703261368856
rag_like_job_0,rag_like,rag_like_job_0_critic,2560,128,1280,1280,0.5
rag_like_job_0,rag_like,rag_like_job_0_final,2049,128,1024,1025,0.4997559785261103
