job_id,workload,critical_path_weight,total_work_weight,critical_path_fraction
debate_job_0,debate,7104.0,20544.0,0.34579439252336447
debate_job_1,debate,7104.0,20544.0,0.34579439252336447
debate_job_2,debate,7104.0,20544.0,0.34579439252336447
debate_job_3,debate,7104.0,20544.0,0.34579439252336447
debate_job_4,debate,7104.0,20544.0,0.34579439252336447
debate_job_5,debate,7104.0,20544.0,0.34579439252336447
debate_job_6,debate,7104.0,20544.0,0.34579439252336447
debate_job_7,debate,7104.0,20544.0,0.34579439252336447
debate_job_8,debate,7104.0,20544.0,0.34579439252336447
debate_job_9,debate,7104.0,20544.0,0.34579439252336447
debate_job_10,debate,7104.0,20544.0,0.34579439252336447
debate_job_11,debate,7104.0,20544.0,0.34579439252336447
debate_job_12,debate,7104.0,20544.0,0.34579439252336447
debate_job_13,debate,7104.0,20544.0,0.34579439252336447
debate_job_14,debate,7104.0,20544.0,0.34579439252336447
debate_job_15,debate,7104.0,20544.0,0.34579439252336447
debate_job_16,debate,7104.0,20544.0,0.34579439252336447
debate_job_17,debate,7104.0,20544.0,0.34579439252336447
debate_job_18,debate,7104.0,20544.0,0.34579439252336447
debate_job_19,debate,7104.0,20544.0,0.34579439252336447
debate_job_20,debate,7104.0,20544.0,0.34579439252336447
debate_job_21,debate,7104.0,20544.0,0.34579439252336447
debate_job_22,debate,7104.0,20544.0,0.34579439252336447
debate_job_23,debate,7104.0,20544.0,0.34579439252336447
debate_job_24,debate,7104.0,20544.0,0.34579439252336447
debate_job_25,debate,7104.0,20544.0,0.34579439252336447
debate_job_26,debate,7104.0,20544.0,0.34579439252336447
debate_job_27,debate,7104.0,20544.0,0.34579439252336447
debate_job_28,debate,7104.0,20544.0,0.34579439252336447
debate_job_29,debate,7104.0,20544.0,0.34579439252336447
debate_job_30,debate,7104.0,20544.0,0.34579439252336447
debate_job_31,debate,7104.0,20544.0,0.34579439252336447
debate_job_32,debate,7104.0,20544.0,0.34579439252336447
debate_job_33,debate,7104.0,20544.0,0.34579439252336447
debate_job_34,debate,7104.0,20544.0,0.34579439252336447
debate_job_35,debate,7104.0,20544.0,0.34579439252336447
debate_job_36,debate,7104.0,20544.0,0.34579439252336447
debate_job_37,debate,7104.0,20544.0,0.34579439252336447
debate_job_38,debate,7104.0,20544.0,0.34579439252336447
debate_job_39,debate,7104.0,20544.0,0.34579439252336447
debate_job_40,debate,7104.0,20544.0,0.34579439252336447
debate_job_41,debate,7104.0,20544.0,0.34579439252336447
debate_job_42,debate,7104.0,20544.0,0.34579439252336447
debate_job_43,debate,7104.0,20544.0,0.34579439252336447
debate_job_44,debate,7104.0,20544.0,0.34579439252336447
debate_job_45,debate,7104.0,20544.0,0.34579439252336447
debate_job_46,debate,7104.0,20544.0,0.34579439252336447
debate_job_47,debate,7104.0,20544.0,0.34579439252336447
debate_job_48,debate,7104.0,20544.0,0.34579439252336447
debate_job_49,debate,7104.0,20544.0,0.34579439252336447
moa_job_0,moa,7488.0,22080.0,0.3391304347826087
moa_job_1,moa,7488.0,22080.0,0.3391304347826087
moa_job_2,moa,7488.0,22080.0,0.3391304347826087
moa_job_3,moa,7488.0,22080.0,0.3391304347826087
moa_job_4,moa,7488.0,22080.0,0.3391304347826087
moa_job_5,moa,7488.0,22080.0,0.3391304347826087
moa_job_6,moa,7488.0,22080.0,0.3391304347826087
moa_job_7,moa,7488.0,22080.0,0.3391304347826087
moa_job_8,moa,7488.0,22080.0,0.3391304347826087
moa_job_9,moa,7488.0,22080.0,0.3391304347826087
moa_job_10,moa,7488.0,22080.0,0.3391304347826087
moa_job_11,moa,7488.0,22080.0,0.3391304347826087
moa_job_12,moa,7488.0,22080.0,0.3391304347826087
moa_job_13,moa,7488.0,22080.0,0.3391304347826087
moa_job_14,moa,7488.0,22080.0,0.3391304347826087
moa_job_15,moa,7488.0,22080.0,0.3391304347826087
moa_job_16,moa,7488.0,22080.0,0.3391304347826087
moa_job_17,moa,7488.0,22080.0,0.3391304347826087
moa_job_18,moa,7488.0,22080.0,0.3391304347826087
moa_job_19,moa,7488.0,22080.0,0.3391304347826087
moa_job_20,moa,7488.0,22080.0,0.3391304347826087
moa_job_21,moa,7488.0,22080.0,0.3391304347826087
moa_job_22,moa,7488.0,22080.0,0.3391304347826087
moa_job_23,moa,7488.0,22080.0,0.3391304347826087
moa_job_24,moa,7488.0,22080.0,0.3391304347826087
moa_job_25,moa,7488.0,22080.0,0.3391304347826087
moa_job_26,moa,7488.0,22080.0,0.3391304347826087
moa_job_27,moa,7488.0,22080.0,0.3391304347826087
moa_job_28,moa,7488.0,22080.0,0.3391304347826087
moa_job_29,moa,7488.0,22080.0,0.3391304347826087
moa_job_30,moa,7488.0,22080.0,0.3391304347826087
moa_job_31,moa,7488.0,22080.0,0.3391304347826087
moa_job_32,moa,7488.0,22080.0,0.3391304347826087
moa_job_33,moa,7488.0,22080.0,0.3391304347826087
moa_job_34,moa,7488.0,22080.0,0.3391304347826087
moa_job_35,moa,7488.0,22080.0,0.3391304347826087
moa_job_36,moa,7488.0,22080.0,0.3391304347826087
moa_job_37,moa,7488.0,22080.0,0.3391304347826087
moa_job_38,moa,7488.0,22080.0,0.3391304347826087
moa_job_39,moa,7488.0,22080.0,0.3391304347826087
moa_job_40,moa,7488.0,22080.0,0.3391304347826087
moa_job_41,moa,7488.0,22080.0,0.3391304347826087
moa_job_42,moa,7488.0,22080.0,0.3391304347826087
moa_job_43,moa,7488.0,22080.0,0.3391304347826087
moa_job_44,moa,7488.0,22080.0,0.3391304347826087
