baseline,job_id,workload,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,cache_hit_rate,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,communication_time_ms,queue_wait_ms_total,prefill_utilization,decode_utilization,energy_estimated_j,energy_per_job_j,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,num_agents,shared_prefix_ratio,tool_latency_mean_ms,input_len,link_bandwidth_GBps,sram_per_tile_mb
wafer_naive,sensitivity_num_agents_2,debate,164.38693632,30.576390240000002,31.157963520000003,31.15796352000001,6.083208449443776,2818572288.0,2818572288.0,0.0,1.0,0.0,2818572288.0,0.0,86.40294656000002,201.4488,0.0034921600000000002,0.0,0.5256071345706312,1.0,0.0089087032832,0.0089087032832,7936.0,881.7777777777778,1024.0,1.161290322580645,2.0,,,,,
waferagent_full,sensitivity_num_agents_2,debate,110.08921557473279,21.025947191423995,21.288456404848638,22.67552196580966,9.083541878097602,2818572288.0,1560281088.0,0.4464285714285714,1.8064516129032258,0.9,1560281088.0,0.0,29.0015537484288,165.188016,0.00303296,0.0,0.26343682800375146,1.0,0.008908715776,0.008908715776,70400.0,35200.0,35584.0,1.010909090909091,2.0,,,,,
wafer_naive,sensitivity_num_agents_4,debate,166.80860032,30.57679024,31.158363520000005,31.15836352000001,5.994894736132511,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.012584320000000001,0.0,0.9383971983441676,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,4.0,,,,,
waferagent_full,sensitivity_num_agents_4,debate,110.8508160447141,21.026101527423997,21.1175637430016,22.53867063633203,9.02113340867629,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,0.9444444444444444,2717908992.0,0.0,51.0026672759296,312.15038400000003,0.008432185872501477,0.0,0.46010186569448946,1.0,0.0161565455872,0.0161565455872,432896.0,61842.28571428572,143104.0,2.314015375517445,4.0,,,,,
wafer_naive,sensitivity_num_agents_8,debate,234.19445632000003,30.577590240000006,31.159163520000007,31.159163520000007,4.26995589781858,9663676416.0,9663676416.0,0.0,1.0,0.0,9663676416.0,0.0,297.01247744000005,739.1159999999999,0.047568639999999995,246.94240480000002,1.0,1.0,0.0306519959552,0.0306519959552,111616.0,3382.3030303030305,4096.0,1.2110091743119265,8.0,,,,,
waferagent_full,sensitivity_num_agents_8,debate,112.44492098024637,21.026270199423998,21.117913743001594,22.264863249130705,8.89324294314435,9663676416.0,5033164800.0,0.47916666666666663,1.92,0.9705882352941176,5033164800.0,0.0,95.0739757761024,606.0751200000001,0.02615725201596642,0.0005599999999930105,0.8455159641474995,1.0,0.0306523773952,0.0306523773952,2018816.0,77646.76923076923,240640.0,3.0991630738016736,8.0,,,,,
wafer_naive,sensitivity_num_agents_16,debate,430.01019584,30.579190240000003,31.160763520000003,31.163073520000005,2.3255262542009216,18790481920.0,18790481920.0,0.0,1.0,0.0,18790481920.0,0.0,578.8527897600001,1456.0056,0.33233728,2462.50093792,1.0,1.0,0.059643165696,0.059643165696,814080.0,12334.545454545454,16384.0,1.328301886792453,16.0,,,,,
waferagent_full,sensitivity_num_agents_16,debate,198.13151870728453,21.026810345794658,21.118862077245524,21.71918581790538,5.047152550611494,18790481920.0,9663676416.0,0.48571428571428577,1.9444444444444444,0.9848484848484849,9663676416.0,0.0,183.49291855713278,1193.924592,0.0949608382128557,594.0582090922064,0.9261167519147798,1.0,0.0596448728064,0.0596448728064,9349632.0,58435.2,448512.0,7.675373747330377,16.0,,,,,
wafer_naive,sensitivity_num_agents_32,debate,765.2420665600001,31.16396351999998,31.16396352000004,39.38472119039991,1.306776043422847,37044092928.0,37044092928.0,0.0,1.0,0.0,37044092928.0,2684354560.0,1146.05662976,2889.7848,1.12507456,12802.408492480004,1.0,1.0,0.1176256096256,0.1176256096256,2741248.0,21086.523076923077,32768.0,1.5539783339559208,32.0,,,,,
waferagent_full,sensitivity_num_agents_32,debate,332.5832665011668,21.02791239160991,21.12072384946878,21.121684692392325,3.0067658259544205,37044092928.0,18924699648.0,0.48913043478260865,1.9574468085106382,0.9923076923076923,18924699648.0,0.0,361.4361072419328,2369.623536,0.3427134991770381,4455.3065305310465,1.0,1.0,0.11763393884159999,0.11763393884159999,44387328.0,232394.38743455498,1361152.0,5.857077767780931,32.0,,,,,
wafer_naive,sensitivity_shared_prefix_ratio_0.0,debate,166.80860032,30.57679024,31.158363520000005,31.15836352000001,5.994894736132511,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.012584320000000001,0.0,0.9383971983441676,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,,0.0,,,,
waferagent_full,sensitivity_shared_prefix_ratio_0.0,debate,121.69820284919885,22.829993945471998,23.147078658921416,23.147758143614148,8.217048210967752,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,85.40425377792,312.15038400000003,0.0034976753635655973,0.0,0.7017708707148934,1.0,0.016156461209599998,0.016156461209599998,11008.0,1572.5714285714287,3840.0,2.441860465116279,,0.0,,,,
wafer_naive,sensitivity_shared_prefix_ratio_0.25,debate,166.80860032,30.57679024,31.158363520000005,31.15836352000001,5.994894736132511,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.012584320000000001,0.0,0.9383971983441676,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,,0.25,,,,
waferagent_full,sensitivity_shared_prefix_ratio_0.25,debate,116.27443810394593,22.007290889472003,22.132475150284797,22.711205575570172,8.60034257147757,5100273664.0,3909091328.0,0.23355263157894735,1.3047210300429184,0.9444444444444444,3909091328.0,0.0,68.20346052692481,312.15038400000003,0.005963418685121107,0.0,0.5865731250918016,1.0,0.0161565033984,0.0161565033984,221952.0,31707.428571428572,73472.0,2.3171856978085352,,0.25,,,,
wafer_naive,sensitivity_shared_prefix_ratio_0.5,debate,166.80860032,30.57679024,31.158363520000005,31.15836352000001,5.994894736132511,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.012584320000000001,0.0,0.9383971983441676,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,,0.5,,,,
waferagent_full,sensitivity_shared_prefix_ratio_0.5,debate,110.8508160447141,21.026101527423997,21.1175637430016,22.53867063633203,9.02113340867629,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,0.9444444444444444,2717908992.0,0.0,51.0026672759296,312.15038400000003,0.008432185872501477,0.0,0.46010186569448946,1.0,0.0161565455872,0.0161565455872,432896.0,61842.28571428572,143104.0,2.314015375517445,,0.5,,,,
wafer_naive,sensitivity_shared_prefix_ratio_0.75,debate,166.80860032,30.57679024,31.158363520000005,31.15836352000001,5.994894736132511,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.012584320000000001,0.0,0.9383971983441676,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,,0.75,,,,
waferagent_full,sensitivity_shared_prefix_ratio_0.75,debate,105.42719402051725,20.044912165375997,20.102652335718396,22.36613569709388,9.485218773871468,5100273664.0,1526726656.0,0.700657894736842,3.340659340659341,0.9444444444444444,1526726656.0,0.0,33.801874024934406,312.15038400000003,0.010900988094854869,0.0,0.32061817009334614,1.0,0.016156587775999997,0.016156587775999997,643840.0,91977.14285714286,212736.0,2.3129224652087474,,0.75,,,,
wafer_naive,sensitivity_shared_prefix_ratio_0.9,debate,166.80860032,30.57679024,31.158363520000005,31.15836352000001,5.994894736132511,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.012584320000000001,0.0,0.9383971983441676,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,,0.9,,,,
