baseline,job_id,workload,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,cache_hit_rate,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,communication_time_ms,queue_wait_ms_total,prefill_utilization,decode_utilization,energy_estimated_j,energy_per_job_j,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,tool_latency_mean_ms
wafer_naive,sensitivity_tool_latency_mean_ms_0,planner_worker_tool,144.26600864000002,30.576495360000003,30.866473600000006,32.6660884096,6.931639749564225,3070230528.0,3070230528.0,0.0,1.0,0.0,3070230528.0,0.0,93.44540800000001,235.14120000000003,0.01073824,0.0,0.6477299045070469,1.0,0.009764343705599999,0.009764343705599999,19968.0,1426.2857142857142,2048.0,1.435897435897436,0
waferagent_full,sensitivity_tool_latency_mean_ms_0,planner_worker_tool,98.15109974317333,20.9346555518464,21.42028408362595,22.669158660446403,10.188372851823829,3070230528.0,1702887424.0,0.44535519125683065,1.8029556650246306,0.9090909090909091,1702887424.0,0.0,31.210914751385598,192.81578399999995,0.005599311347458545,0.0,0.3179884365336049,1.0,0.009764375487999999,0.009764375487999999,178880.0,22360.0,73344.0,3.280143112701252,0
wafer_naive,sensitivity_tool_latency_mean_ms_100,planner_worker_tool,244.26600864000005,30.866473600000006,100.00081024,100.00081024000002,4.0938974913771276,3070230528.0,3070230528.0,0.0,1.0,0.0,3070230528.0,0.0,493.44540799999993,235.14120000000003,0.01073824,0.0,1.0,0.9626439687994075,0.009764343705599999,0.009764343705599999,19968.0,1426.2857142857142,2048.0,1.435897435897436,100
waferagent_full,sensitivity_tool_latency_mean_ms_100,planner_worker_tool,190.15109974317332,21.025692784230387,92.000320544,92.000376544,5.2589756322768855,3070230528.0,1702887424.0,0.44535519125683065,1.8029556650246306,0.9090909090909091,1702887424.0,0.0,399.2109147513856,192.81578399999995,0.005599311347458545,0.0,1.0,1.0,0.009764375487999999,0.009764375487999999,178880.0,22360.0,73344.0,3.280143112701252,100
wafer_naive,sensitivity_tool_latency_mean_ms_1000,planner_worker_tool,1144.26600864,30.866473600000063,1000.00081024,1000.0008102400001,0.8739226652275852,3070230528.0,3070230528.0,0.0,1.0,0.0,3070230528.0,0.0,4093.445407999999,235.14120000000003,0.01073824,0.0,1.0,0.2054952242088127,0.009764343705599999,0.009764343705599999,19968.0,1426.2857142857142,2048.0,1.435897435897436,1000
waferagent_full,sensitivity_tool_latency_mean_ms_1000,planner_worker_tool,1018.1510997431733,21.025692784230387,920.000320544,920.000376544,0.9821724891838236,3070230528.0,1702887424.0,0.44535519125683065,1.8029556650246306,0.9090909090909091,1702887424.0,0.0,3711.210914751385,192.81578399999995,0.005599311347458545,0.0,1.0,0.18937835852521043,0.009764375487999999,0.009764375487999999,178880.0,22360.0,73344.0,3.280143112701252,1000
wafer_naive,sensitivity_tool_latency_mean_ms_5000,planner_worker_tool,5144.266008639999,30.866473600000063,5000.00081024,5000.00081024,0.19439119173084368,3070230528.0,3070230528.0,0.0,1.0,0.0,3070230528.0,0.0,20093.445408,235.14120000000003,0.01073824,0.0,1.0,0.04570937809302066,0.009764343705599999,0.009764343705599999,19968.0,1426.2857142857142,2048.0,1.435897435897436,5000
waferagent_full,sensitivity_tool_latency_mean_ms_5000,planner_worker_tool,4698.151099743172,21.02569278423016,4600.000320544,4600.000376544,0.21284968890308054,3070230528.0,1702887424.0,0.44535519125683065,1.8029556650246306,0.9090909090909091,1702887424.0,0.0,18431.210914751384,192.81578399999995,0.005599311347458545,0.0,1.0,0.041040779640003563,0.009764375487999999,0.009764375487999999,178880.0,22360.0,73344.0,3.280143112701252,5000
wafer_naive,sensitivity_tool_latency_mean_ms_20000,planner_worker_tool,20144.26600864,30.866473599999154,20000.00081024,20000.00081024,0.04964191793193626,3070230528.0,3070230528.0,0.0,1.0,0.0,3070230528.0,0.0,80093.445408,235.14120000000003,0.01073824,0.0,1.0,0.011672860152817011,0.009764343705599999,0.009764343705599999,19968.0,1426.2857142857142,2048.0,1.435897435897436,20000
waferagent_full,sensitivity_tool_latency_mean_ms_20000,planner_worker_tool,18498.151099743176,21.02569278423107,18400.000320544,18400.000376544,0.054059456786137064,3070230528.0,1702887424.0,0.44535519125683065,1.8029556650246306,0.9090909090909091,1702887424.0,0.0,73631.21091475138,192.81578399999995,0.005599311347458545,0.0,1.0,0.010423516542833135,0.009764375487999999,0.009764375487999999,178880.0,22360.0,73344.0,3.280143112701252,20000
