baseline,job_id,workload,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,cache_hit_rate,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,communication_time_ms,queue_wait_ms_total,prefill_utilization,decode_utilization,energy_estimated_j,energy_per_job_j,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,sram_per_tile_mb
wafer_naive,sensitivity_sram_per_tile_mb_2,debate,166.80860032,30.57679024,31.158363520000005,31.15836352000001,5.994894736132511,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.012584320000000001,0.0,0.9383971983441676,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,2
waferagent_full,sensitivity_sram_per_tile_mb_2,debate,110.8508160447141,21.026101527423997,21.1175637430016,22.53867063633203,9.02113340867629,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,0.9444444444444444,2717908992.0,0.0,51.0026672759296,312.15038400000003,0.008432185872501477,0.0,0.46010186569448946,1.0,0.0161565455872,0.0161565455872,432896.0,61842.28571428572,143104.0,2.314015375517445,2
wafer_naive,sensitivity_sram_per_tile_mb_4,debate,166.80860032,30.57679024,31.158363520000005,31.15836352000001,5.994894736132511,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.012584320000000001,0.0,0.9383971983441676,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,4
waferagent_full,sensitivity_sram_per_tile_mb_4,debate,110.8508160447141,21.026101527423997,21.1175637430016,22.53867063633203,9.02113340867629,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,0.9444444444444444,2717908992.0,0.0,51.0026672759296,312.15038400000003,0.008432185872501477,0.0,0.46010186569448946,1.0,0.0161565455872,0.0161565455872,432896.0,61842.28571428572,143104.0,2.314015375517445,4
wafer_naive,sensitivity_sram_per_tile_mb_8,debate,166.80860032,30.57679024,31.158363520000005,31.15836352000001,5.994894736132511,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.012584320000000001,0.0,0.9383971983441676,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,8
waferagent_full,sensitivity_sram_per_tile_mb_8,debate,110.8508160447141,21.026101527423997,21.1175637430016,22.53867063633203,9.02113340867629,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,0.9444444444444444,2717908992.0,0.0,51.0026672759296,312.15038400000003,0.008432185872501477,0.0,0.46010186569448946,1.0,0.0161565455872,0.0161565455872,432896.0,61842.28571428572,143104.0,2.314015375517445,8
wafer_naive,sensitivity_sram_per_tile_mb_16,debate,166.80860032,30.57679024,31.158363520000005,31.15836352000001,5.994894736132511,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.012584320000000001,0.0,0.9383971983441676,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,16
waferagent_full,sensitivity_sram_per_tile_mb_16,debate,110.8508160447141,21.026101527423997,21.1175637430016,22.53867063633203,9.02113340867629,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,0.9444444444444444,2717908992.0,0.0,51.0026672759296,312.15038400000003,0.008432185872501477,0.0,0.46010186569448946,1.0,0.0161565455872,0.0161565455872,432896.0,61842.28571428572,143104.0,2.314015375517445,16
wafer_naive,sensitivity_sram_per_tile_mb_32,debate,166.80860032,30.57679024,31.158363520000005,31.15836352000001,5.994894736132511,5100273664.0,5100273664.0,0.0,1.0,0.0,5100273664.0,0.0,156.53272320000002,380.6712,0.012584320000000001,0.0,0.9383971983441676,1.0,0.0161564648448,0.0161564648448,29184.0,1716.7058823529412,2048.0,1.1929824561403508,32
waferagent_full,sensitivity_sram_per_tile_mb_32,debate,110.8508160447141,21.026101527423997,21.1175637430016,22.53867063633203,9.02113340867629,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,0.9444444444444444,2717908992.0,0.0,51.0026672759296,312.15038400000003,0.008432185872501477,0.0,0.46010186569448946,1.0,0.0161565455872,0.0161565455872,432896.0,61842.28571428572,143104.0,2.314015375517445,32
