workflow,state_id,kind,token_size,kv_size_bytes,consumer_count,producer,producer_deterministic,state_deterministic,prefix_compatible,kv_cacheable,prompt_position,dynamic_hot_candidate,raw_duplicated_state_tokens,prefix_covered,operator_cache_covered,kvflow_cache_covered,residual_candidate,reason,prefix_covered_tokens,operator_cache_covered_tokens,kvflow_cache_covered_tokens,residual_token_weighted_fanout
mapreduce,S_task,task,1000,1024000,5,,,True,True,True,0,False,4000,True,False,False,False,covered_by_exact_prefix_cache,4000,0,0,0
mapreduce,S_rubric,rubric,1000,1024000,5,,,True,True,True,2,False,4000,True,False,False,False,covered_by_exact_prefix_cache,4000,0,0,0
mapreduce,S_document,document,1000,1024000,4,,,True,True,True,1,False,3000,True,False,False,False,covered_by_exact_prefix_cache,3000,0,0,0
mapreduce,S_tool_schema,tool_schema,1000,1024000,0,,,True,True,True,3,False,0,False,False,False,False,no_repeated_consumers,0,0,0,0
mapreduce,S_unique_expert_0,unique_context,445,455680,1,,,True,False,False,,False,0,False,False,False,False,no_repeated_consumers,0,0,0,0
mapreduce,S_expert_0_summary,intermediate_summary,208,212992,1,O_expert_0,False,False,False,False,,False,0,False,False,False,False,no_repeated_consumers,0,0,0,0
mapreduce,S_unique_expert_1,unique_context,396,405504,1,,,True,False,False,,False,0,False,False,False,False,no_repeated_consumers,0,0,0,0
mapreduce,S_expert_1_summary,intermediate_summary,285,291840,1,O_expert_1,False,False,False,False,,False,0,False,False,False,False,no_repeated_consumers,0,0,0,0
mapreduce,S_unique_expert_2,unique_context,408,417792,1,,,True,False,False,,False,0,False,False,False,False,no_repeated_consumers,0,0,0,0
mapreduce,S_expert_2_summary,intermediate_summary,225,230400,1,O_expert_2,False,False,False,False,,False,0,False,False,False,False,no_repeated_consumers,0,0,0,0
mapreduce,S_unique_expert_3,unique_context,309,316416,1,,,True,False,False,,False,0,False,False,False,False,no_repeated_consumers,0,0,0,0
mapreduce,S_expert_3_summary,intermediate_summary,217,222208,1,O_expert_3,False,False,False,False,,False,0,False,False,False,False,no_repeated_consumers,0,0,0,0
mapreduce,S_final_summary,output,251,257024,0,O_summarizer,False,True,False,False,,False,0,False,False,False,False,no_repeated_consumers,0,0,0,0
debate,S_task,task,1000,1024000,9,,,True,True,True,0,False,8000,True,False,False,False,covered_by_exact_prefix_cache,8000,0,0,0
debate,S_rubric,rubric,1000,1024000,9,,,True,True,True,2,False,8000,True,False,False,False,covered_by_exact_prefix_cache,8000,0,0,0
