baseline,slo_type,slo_ms,arrival_rate_jobs_per_s,completed_jobs,successful_jobs,slo_goodput_jobs_per_s,energy_per_successful_job_j
no_cache,jct_ms,1000.0,2.0,100,0,0.0,26.624519695359997
no_cache,jct_ms,5000.0,2.0,100,0,0.0,26.624519695359997
no_cache,jct_ms,10000.0,2.0,100,50,0.5434904244575407,0.5324903939071999
apc_like,jct_ms,1000.0,2.0,100,0,0.0,25.6058474051584
apc_like,jct_ms,5000.0,2.0,100,0,0.0,25.6058474051584
apc_like,jct_ms,10000.0,2.0,100,50,0.5445460817536135,0.512116948103168
kvflow_like,jct_ms,1000.0,2.0,100,0,0.0,25.6061326178304
kvflow_like,jct_ms,5000.0,2.0,100,0,0.0,25.6061326178304
kvflow_like,jct_ms,10000.0,2.0,100,50,0.5445460817536135,0.512122652356608
pat_like,jct_ms,1000.0,2.0,100,0,0.0,16.2067389612938
pat_like,jct_ms,5000.0,2.0,100,49,0.5564274716966492,0.33074977472028166
pat_like,jct_ms,10000.0,2.0,100,50,0.5677831343843359,0.324134779225876
wafer_naive,jct_ms,1000.0,2.0,100,0,0.0,26.624519695359997
wafer_naive,jct_ms,5000.0,2.0,100,0,0.0,26.624519695359997
wafer_naive,jct_ms,10000.0,2.0,100,50,0.5434904244575407,0.5324903939071999
waferagent_full,jct_ms,1000.0,2.0,100,50,0.8056704176931075,0.039247760884861996
waferagent_full,jct_ms,5000.0,2.0,100,98,1.5791140186784909,0.020024367798398977
waferagent_full,jct_ms,10000.0,2.0,100,100,1.611340835386215,0.019623880442430998
ideal_next_use_cache,jct_ms,1000.0,2.0,100,50,0.8056704176931075,0.039247760884861996
ideal_next_use_cache,jct_ms,5000.0,2.0,100,98,1.5791140186784909,0.020024367798398977
ideal_next_use_cache,jct_ms,10000.0,2.0,100,100,1.611340835386215,0.019623880442430998
no_cache,jct_ms,1000.0,4.0,100,0,0.0,26.624519695359997
no_cache,jct_ms,5000.0,4.0,100,0,0.0,26.624519695359997
no_cache,jct_ms,10000.0,4.0,100,50,0.7963796068032125,0.5324903939071999
apc_like,jct_ms,1000.0,4.0,100,0,0.0,25.5845554403328
apc_like,jct_ms,5000.0,4.0,100,0,0.0,25.5845554403328
apc_like,jct_ms,10000.0,4.0,100,50,0.7986987685526712,0.511691108806656
kvflow_like,jct_ms,1000.0,4.0,100,0,0.0,25.584812131737596
kvflow_like,jct_ms,5000.0,4.0,100,0,0.0,25.584812131737596
kvflow_like,jct_ms,10000.0,4.0,100,50,0.7986987685526712,0.5116962426347519
pat_like,jct_ms,1000.0,4.0,100,0,0.0,15.957515430878601
pat_like,jct_ms,5000.0,4.0,100,50,0.8376248102456145,0.31915030861757204
pat_like,jct_ms,10000.0,4.0,100,50,0.8376248102456145,0.31915030861757204
wafer_naive,jct_ms,1000.0,4.0,100,0,0.0,26.624519695359997
wafer_naive,jct_ms,5000.0,4.0,100,0,0.0,26.624519695359997
wafer_naive,jct_ms,10000.0,4.0,100,50,0.7963796068032125,0.5324903939071999
waferagent_full,jct_ms,1000.0,4.0,100,50,1.215963588781562,0.04227807506054901
waferagent_full,jct_ms,5000.0,4.0,100,57,1.3861984912109808,0.03708603075486755
waferagent_full,jct_ms,10000.0,4.0,100,85,2.0671381009286556,0.024869455917970004
ideal_next_use_cache,jct_ms,1000.0,4.0,100,50,1.215963588781562,0.04227807506054901
ideal_next_use_cache,jct_ms,5000.0,4.0,100,57,1.3861984912109808,0.03708603075486755
ideal_next_use_cache,jct_ms,10000.0,4.0,100,85,2.0671381009286556,0.024869455917970004
no_cache,jct_ms,1000.0,8.0,100,0,0.0,26.624519695359997
no_cache,jct_ms,5000.0,8.0,100,0,0.0,26.624519695359997
no_cache,jct_ms,10000.0,8.0,100,50,1.0378348277018525,0.5324903939071999
apc_like,jct_ms,1000.0,8.0,100,0,0.0,25.569018060595198
apc_like,jct_ms,5000.0,8.0,100,0,0.0,25.569018060595198
apc_like,jct_ms,10000.0,8.0,100,50,1.0431772558383292,0.511380361211904
kvflow_like,jct_ms,1000.0,8.0,100,0,0.0,25.5679040534528
kvflow_like,jct_ms,5000.0,8.0,100,0,0.0,25.5679040534528
kvflow_like,jct_ms,10000.0,8.0,100,50,1.0431772558383292,0.511358081069056
pat_like,jct_ms,1000.0,8.0,100,0,0.0,16.1040328714696
pat_like,jct_ms,5000.0,8.0,100,50,1.1073198029115439,0.32208065742939196
pat_like,jct_ms,10000.0,8.0,100,50,1.1073198029115439,0.32208065742939196
wafer_naive,jct_ms,1000.0,8.0,100,0,0.0,26.624519695359997
wafer_naive,jct_ms,5000.0,8.0,100,0,0.0,26.624519695359997
wafer_naive,jct_ms,10000.0,8.0,100,50,1.0378348277018525,0.5324903939071999
waferagent_full,jct_ms,1000.0,8.0,100,50,1.4250426347933929,0.040567604334922
waferagent_full,jct_ms,5000.0,8.0,100,55,1.5675468982727323,0.03687964030447455
waferagent_full,jct_ms,10000.0,8.0,100,78,2.223066510277693,0.02600487457366795
ideal_next_use_cache,jct_ms,1000.0,8.0,100,50,1.4250426347933929,0.040567604334922
ideal_next_use_cache,jct_ms,5000.0,8.0,100,55,1.5675468982727323,0.03687964030447455
ideal_next_use_cache,jct_ms,10000.0,8.0,100,78,2.223066510277693,0.02600487457366795
no_cache,jct_ms,1000.0,16.0,100,0,0.0,26.624519695359997
no_cache,jct_ms,5000.0,16.0,100,0,0.0,26.624519695359997
no_cache,jct_ms,10000.0,16.0,100,50,1.2232783984537685,0.5324903939071999
apc_like,jct_ms,1000.0,16.0,100,0,0.0,25.555519112601598
apc_like,jct_ms,5000.0,16.0,100,0,0.0,25.555519112601598
