artifact_file,source_result_dir,source_command,source_git_commit,source_git_dirty,source_created_unix,source_duration_source,source_arrival_mode,source_arrival_rates
global_simulation_summary.csv,results/round7_global_main_neutral,"scripts/run_global_serving_sweep.py --traces results/round6_characterization_synthetic/traces/*.jsonl --wafer-config configs/wafer/wse_like.yaml --arrival-mode poisson --arrival-rate-jobs-per-s 2,4,8,16 --max-jobs 100 --baselines no_cache,apc_like,kvflow_like,pat_like,wafer_naive,waferagent_full,ideal_next_use_cache --out results/round7_global_main_neutral --duration-source synthetic --clean-required",455d3234c48daeab0cfd924549dc385568e0205e,False,1779195756.895957,synthetic,,
global_job_metrics_sample.csv,results/round7_global_main_neutral,"scripts/run_global_serving_sweep.py --traces results/round6_characterization_synthetic/traces/*.jsonl --wafer-config configs/wafer/wse_like.yaml --arrival-mode poisson --arrival-rate-jobs-per-s 2,4,8,16 --max-jobs 100 --baselines no_cache,apc_like,kvflow_like,pat_like,wafer_naive,waferagent_full,ideal_next_use_cache --out results/round7_global_main_neutral --duration-source synthetic --clean-required",455d3234c48daeab0cfd924549dc385568e0205e,False,1779195756.895957,synthetic,,
slo_goodput.csv,results/round7_global_main_neutral,"scripts/run_global_serving_sweep.py --traces results/round6_characterization_synthetic/traces/*.jsonl --wafer-config configs/wafer/wse_like.yaml --arrival-mode poisson --arrival-rate-jobs-per-s 2,4,8,16 --max-jobs 100 --baselines no_cache,apc_like,kvflow_like,pat_like,wafer_naive,waferagent_full,ideal_next_use_cache --out results/round7_global_main_neutral --duration-source synthetic --clean-required",455d3234c48daeab0cfd924549dc385568e0205e,False,1779195756.895957,synthetic,,
existing_cache_gap_summary.csv,results/round7_existing_cache_gap,"scripts/run_existing_cache_gap.py --traces results/round6_characterization_synthetic/traces/*.jsonl --wafer-config configs/wafer/wse_like.yaml --baselines no_cache,apc_like,kvflow_like,pat_like,waferagent_full --out results/round7_existing_cache_gap --duration-source synthetic --max-jobs 100 --clean-required",455d3234c48daeab0cfd924549dc385568e0205e,False,1779195783.586172,synthetic,,
ablation_global_summary.csv,results/round7_ablation,"scripts/run_global_ablation.py --traces results/round6_characterization_synthetic/traces/*.jsonl --wafer-config configs/wafer/wse_like.yaml --arrival-mode poisson --arrival-rate-jobs-per-s 4,8,16 --max-jobs 100 --out results/round7_ablation --duration-source synthetic --clean-required",72f97912e294fc12470bbbf2862b503d0349ef58,False,1779195981.5283663,synthetic,,
ablation_delta_summary.csv,results/round7_ablation,"scripts/run_global_ablation.py --traces results/round6_characterization_synthetic/traces/*.jsonl --wafer-config configs/wafer/wse_like.yaml --arrival-mode poisson --arrival-rate-jobs-per-s 4,8,16 --max-jobs 100 --out results/round7_ablation --duration-source synthetic --clean-required",72f97912e294fc12470bbbf2862b503d0349ef58,False,1779195981.5283663,synthetic,,
decode_cohorts_event_driven.csv,results/round7_decode_cohort_targeted,"scripts/run_global_serving_sweep.py --traces results/round6_characterization_synthetic/traces/*.jsonl --wafer-config configs/wafer/wse_like.yaml --arrival-mode burst --arrival-rate-jobs-per-s 16 --max-jobs 100 --baselines apc_like,pat_like,waferagent_full,no_shared_kv_decode_cohort --out results/round7_decode_cohort_targeted --duration-source synthetic --clean-required",455d3234c48daeab0cfd924549dc385568e0205e,False,1779195821.6355793,synthetic,,
decode_cohort_analytical_sweep.csv,results/round7_decode_cohort_sweep,scripts/run_decode_cohort_sweep.py --out results/round7_decode_cohort_sweep --clean-required,455d3234c48daeab0cfd924549dc385568e0205e,False,1779195863.7259738,,,
replication_tradeoff_summary.csv,results/round7_replication_tradeoff,"scripts/run_replication_tradeoff.py --workload moa_decode_cohort_stress --sram-per-tile-mb 1,2,4,8,16 --link-bandwidth-GBps 10,25,50,100 --replication-policies no_replication,benefit_cost,replicate_all,oracle --out results/round7_replication_tradeoff --clean-required",455d3234c48daeab0cfd924549dc385568e0205e,False,1779195856.6993222,,,
prefix_realism_sensitivity.csv,results/round7_prefix_realism_sensitivity,"scripts/run_prefix_realism_sensitivity.py --wafer-config configs/wafer/wse_like.yaml --cross-job-task-group-size 1,2,5,10,50 --unique-task-ratio 0,0.25,0.5,0.75,1.0 --num-jobs 5 --out results/round7_prefix_realism_sensitivity --duration-source synthetic --clean-required",455d3234c48daeab0cfd924549dc385568e0205e,False,1779195838.1680305,synthetic,,
prefix_realism_prefix_stats.csv,results/round7_prefix_realism_sensitivity,"scripts/run_prefix_realism_sensitivity.py --wafer-config configs/wafer/wse_like.yaml --cross-job-task-group-size 1,2,5,10,50 --unique-task-ratio 0,0.25,0.5,0.75,1.0 --num-jobs 5 --out results/round7_prefix_realism_sensitivity --duration-source synthetic --clean-required",455d3234c48daeab0cfd924549dc385568e0205e,False,1779195838.1680305,synthetic,,
planning_overhead_summary.csv,results/round7_global_main_neutral,"scripts/run_global_serving_sweep.py --traces results/round6_characterization_synthetic/traces/*.jsonl --wafer-config configs/wafer/wse_like.yaml --arrival-mode poisson --arrival-rate-jobs-per-s 2,4,8,16 --max-jobs 100 --baselines no_cache,apc_like,kvflow_like,pat_like,wafer_naive,waferagent_full,ideal_next_use_cache --out results/round7_global_main_neutral --duration-source synthetic --clean-required",455d3234c48daeab0cfd924549dc385568e0205e,False,1779195756.895957,synthetic,,
shared_kv_microbench_summary.csv,results/round7_shared_kv_microbench_h100,"scripts/run_shared_kv_microbench.py --device cuda:1 --shared-prefix-tokens 512,2048,8192 --num-queries 1,4,8 --reps 3 --out results/round7_shared_kv_microbench_h100 --clean-required",455d3234c48daeab0cfd924549dc385568e0205e,False,1779195874.18777,,,
shared_kv_microbench_raw_sample.csv,results/round7_shared_kv_microbench_h100,"scripts/run_shared_kv_microbench.py --device cuda:1 --shared-prefix-tokens 512,2048,8192 --num-queries 1,4,8 --reps 3 --out results/round7_shared_kv_microbench_h100 --clean-required",455d3234c48daeab0cfd924549dc385568e0205e,False,1779195874.18777,,,
