panel,group,metric,mean,count,label,value
intrinsic_metrics,Smoke,delayed_reuse_ratio,0.0,0,,
intrinsic_metrics,Smoke,LRU_regret_tokens,0.0,0,,
intrinsic_metrics,Smoke,asg_opportunity_score,0.0,0,,
intrinsic_metrics,Opportunity,delayed_reuse_ratio,0.16570996268290114,7,,
intrinsic_metrics,Opportunity,LRU_regret_tokens,40.08228571428572,7,,
intrinsic_metrics,Opportunity,asg_opportunity_score,0.7519346539011492,7,,
intrinsic_metrics,Control,delayed_reuse_ratio,0.05736479028938857,15,,
intrinsic_metrics,Control,LRU_regret_tokens,10.410666666666666,15,,
intrinsic_metrics,Control,asg_opportunity_score,0.3070846851706529,15,,
sample_counts,,,,,Candidates,22
sample_counts,,,,,Paper usable,22
sample_counts,,,,,Opportunity,7
sample_counts,,,,,Matched control,15
