baseline,wave_id,time,operator_id,state_id,region_id,policy_before,policy_after,dynamic_hotness_before,dynamic_hotness_after,materialization_bytes,movement_byte_hop,cache_hit
flat_sequential,0,0.0,O_analyst_0,S_task,R_0_0,replicate,replicate,0.0,308.0,3200,3200,False
flat_sequential,0,0.0,O_analyst_0,S_market_context,R_0_0,replicate,replicate,0.0,308.0,3200,3200,False
flat_sequential,0,0.0,O_analyst_0,S_role_instruction,R_0_0,replicate,replicate,0.0,308.0,3200,3200,False
flat_sequential,0,0.0,O_analyst_0,S_market_signal_0,R_0_0,inline,inline,0.0,171.32500000000002,1780,1780,False
flat_sequential,1,5.7400032017781255,O_analyst_1,S_task,R_0_0,replicate,replicate,308.0,508.20000000000005,3200,3200,False
flat_sequential,1,5.7400032017781255,O_analyst_1,S_market_context,R_0_0,replicate,replicate,308.0,508.20000000000005,3200,3200,False
flat_sequential,1,5.7400032017781255,O_analyst_1,S_role_instruction,R_0_0,replicate,replicate,308.0,508.20000000000005,3200,3200,False
flat_sequential,1,5.7400032017781255,O_analyst_1,S_market_signal_1,R_0_0,inline,inline,0.0,157.465,1636,1636,False
flat_sequential,2,11.40800640353375,O_analyst_2,S_task,R_0_0,replicate,replicate,508.20000000000005,638.33,3200,3200,False
flat_sequential,2,11.40800640353375,O_analyst_2,S_market_context,R_0_0,replicate,replicate,508.20000000000005,638.33,3200,3200,False
flat_sequential,2,11.40800640353375,O_analyst_2,S_role_instruction,R_0_0,replicate,replicate,508.20000000000005,638.33,3200,3200,False
flat_sequential,2,11.40800640353375,O_analyst_2,S_market_signal_2,R_0_0,inline,inline,0.0,168.63,1752,1752,False
flat_sequential,3,17.1340096053075,O_analyst_3,S_task,R_0_0,replicate,replicate,638.33,722.9145000000001,3200,3200,False
flat_sequential,3,17.1340096053075,O_analyst_3,S_market_context,R_0_0,replicate,replicate,638.33,722.9145000000001,3200,3200,False
flat_sequential,3,17.1340096053075,O_analyst_3,S_role_instruction,R_0_0,replicate,replicate,638.33,722.9145000000001,3200,3200,False
flat_sequential,3,17.1340096053075,O_analyst_3,S_market_signal_3,R_0_0,inline,inline,0.0,164.01,1704,1704,False
flat_sequential,4,22.83601280707375,O_analyst_4,S_task,R_0_0,replicate,replicate,722.9145000000001,777.8944250000001,3200,3200,False
flat_sequential,4,22.83601280707375,O_analyst_4,S_market_context,R_0_0,replicate,replicate,722.9145000000001,777.8944250000001,3200,3200,False
flat_sequential,4,22.83601280707375,O_analyst_4,S_role_instruction,R_0_0,replicate,replicate,722.9145000000001,777.8944250000001,3200,3200,False
flat_sequential,4,22.83601280707375,O_analyst_4,S_market_signal_4,R_0_0,inline,inline,0.0,150.15,1560,1560,False
flat_sequential,5,28.4660160088175,O_analyst_5,S_task,R_0_0,replicate,replicate,777.8944250000001,813.6313762500001,3200,3200,False
flat_sequential,5,28.4660160088175,O_analyst_5,S_market_context,R_0_0,replicate,replicate,777.8944250000001,813.6313762500001,3200,3200,False
flat_sequential,5,28.4660160088175,O_analyst_5,S_role_instruction,R_0_0,replicate,replicate,777.8944250000001,813.6313762500001,3200,3200,False
flat_sequential,5,28.4660160088175,O_analyst_5,S_market_signal_5,R_0_0,inline,inline,0.0,187.10999999999999,1944,1944,False
flat_sequential,6,34.28801921062125,O_analyst_6,S_task,R_0_0,replicate,replicate,813.6313762500001,836.8603945625001,3200,3200,False
flat_sequential,6,34.28801921062125,O_analyst_6,S_market_context,R_0_0,replicate,replicate,813.6313762500001,836.8603945625001,3200,3200,False
flat_sequential,6,34.28801921062125,O_analyst_6,S_role_instruction,R_0_0,replicate,replicate,813.6313762500001,836.8603945625001,3200,3200,False
flat_sequential,6,34.28801921062125,O_analyst_6,S_market_signal_6,R_0_0,inline,inline,0.0,110.88,1152,1152,False
flat_sequential,7,39.71402241230125,O_analyst_7,S_task,R_0_0,replicate,replicate,836.8603945625001,851.9592564656251,3200,3200,False
flat_sequential,7,39.71402241230125,O_analyst_7,S_market_context,R_0_0,replicate,replicate,836.8603945625001,851.9592564656251,3200,3200,False
flat_sequential,7,39.71402241230125,O_analyst_7,S_role_instruction,R_0_0,replicate,replicate,836.8603945625001,851.9592564656251,3200,3200,False
flat_sequential,7,39.71402241230125,O_analyst_7,S_market_signal_7,R_0_0,inline,inline,0.0,148.22500000000002,1540,1540,False
flat_sequential,8,45.33402561404187,O_researcher_0,S_task,R_0_0,replicate,replicate,851.9592564656251,833.7735167026564,3200,3200,False
flat_sequential,8,45.33402561404187,O_researcher_0,S_market_context,R_0_0,replicate,replicate,851.9592564656251,833.7735167026564,3200,3200,False
flat_sequential,8,45.33402561404187,O_researcher_0,S_tool_schema,R_0_0,replicate,replicate,0.0,280.0,3200,3200,False
flat_sequential,8,45.33402561404187,O_researcher_0,S_market_signal_0,R_0_0,inline,inline,171.32500000000002,267.11125000000004,1780,1780,False
flat_sequential,9,51.07402881581999,O_researcher_1,S_task,R_0_0,replicate,replicate,833.7735167026564,821.9527858567267,3200,3200,False
flat_sequential,9,51.07402881581999,O_researcher_1,S_market_context,R_0_0,replicate,replicate,833.7735167026564,821.9527858567267,3200,3200,False
