trace_idx,state_id,state_type,tokens,access_count,first_access,last_access,cross_agent,has_exact_token_hash,has_semantic_key
0,state_5f91f0f32842fc9e,task_prefix,512,28,1,74,False,True,False
0,state_383f6ddb5f7a2063,assistant_delta,244,0,,,False,False,False
0,state_0b73ad9973720ba5,assistant_delta,137,27,4,74,False,True,False
0,state_d4d64ae1e66b63f3,tool_observation,33,27,4,74,False,False,False
0,state_a4620866a0863406,assistant_delta,246,0,,,False,False,False
0,state_ea048267fb8f3aee,assistant_delta,137,26,6,74,False,True,False
0,state_fb1a2ba9431a6b6d,assistant_delta,42,0,,,False,False,False
0,state_ffa809c41ef57d7a,assistant_delta,7,25,9,74,False,True,False
0,state_9fa3ad9948f0fb2a,tool_observation,89,25,9,74,False,False,False
0,state_de74089c292d2bfa,assistant_delta,249,0,,,False,False,False
0,state_1417bf4828ba70ec,assistant_delta,137,24,11,74,False,True,False
0,state_9945de52f6045493,assistant_delta,59,0,,,False,False,False
0,state_41c0a09fea5b8e27,assistant_delta,9,23,14,74,False,True,False
0,state_1d550d0d93579287,failure_summary,31,23,14,74,False,False,False
0,state_967529d66f469daa,assistant_delta,73,0,,,False,False,False
0,state_9ae323cfe3ef23e2,assistant_delta,11,22,17,74,False,True,False
0,state_f9b6aedb8975120d,failure_summary,7,22,17,74,False,False,False
0,state_f8f0a45cb7a113d1,assistant_delta,41,0,,,False,False,False
0,state_9af0b28473c01790,assistant_delta,7,21,20,74,False,True,False
0,state_d5f0a51e1a148d1f,tool_observation,93,21,20,74,False,False,False
0,state_da1b098d0b8f057f,assistant_delta,77,0,,,False,False,False
0,state_5e3f627721caaedf,assistant_delta,11,20,23,74,False,True,False
0,state_71caf5beb002355e,tool_observation,10,20,23,74,False,False,False
0,state_88592c3c188d28e8,assistant_delta,163,0,,,False,False,False
0,state_dc5af288d8c02544,assistant_delta,11,19,26,74,False,True,False
0,state_25b81c99fc17fbcd,tool_observation,5,19,26,74,False,False,False
0,state_42856e8c317b92fe,assistant_delta,147,0,,,False,False,False
0,state_a955c118d6c3a661,assistant_delta,9,18,29,74,False,True,False
0,state_1e7ab08d09b97414,tool_observation,204,18,29,74,False,False,False
0,state_8e97014a5c9b0dd6,assistant_delta,249,0,,,False,False,False
0,state_7d2f960b5f90b52d,assistant_delta,137,17,31,74,False,True,False
0,state_2945cdd975ec895e,assistant_delta,80,0,,,False,False,False
0,state_bb0fa7c1b28064b9,assistant_delta,11,16,34,74,False,True,False
0,state_1a3a9db7eb301549,tool_observation,10,16,34,74,False,False,False
0,state_99bd74162414cafa,assistant_delta,249,0,,,False,False,False
0,state_cad30e5fbd39384d,assistant_delta,137,15,36,74,False,True,False
0,state_41161d1e7dc4ef6c,assistant_delta,175,0,,,False,False,False
0,state_be7d3f2a209e5029,assistant_delta,11,14,39,74,False,True,False
0,state_88368681c5b506e7,tool_observation,91,14,39,74,False,False,False
0,state_e2873df31f07f8aa,assistant_delta,161,0,,,False,False,False
0,state_86e42d67f1bcf88e,assistant_delta,9,13,42,74,False,True,False
0,state_61cda42aa172d91f,failure_summary,28,13,42,74,False,False,False
0,state_9008aeb19e4773f4,assistant_delta,174,0,,,False,False,False
0,state_5d40ecb2c9db95e1,assistant_delta,11,12,44,74,False,True,False
0,state_d644fbf0067db8ed,assistant_delta,182,0,,,False,False,False
0,state_8dd42febd7cbde1f,assistant_delta,11,11,47,74,False,True,False
0,state_9f00490aa210495c,tool_observation,91,11,47,74,False,False,False
0,state_ce21ab4479cb5a63,assistant_delta,250,0,,,False,False,False
0,state_483cacd19293e390,assistant_delta,137,10,49,74,False,True,False
0,state_0493b28fc5234f8f,assistant_delta,216,0,,,False,False,False
0,state_f9b2e775c12f6b5d,assistant_delta,18,9,52,74,False,True,False
0,state_a770a58213970e7a,tool_observation,11,9,52,74,False,False,False
0,state_46c441ebad50b3e1,assistant_delta,250,0,,,False,False,False
0,state_aa7ad84dfe169c48,assistant_delta,137,8,54,74,False,True,False
0,state_d66e62c89c81133c,assistant_delta,217,0,,,False,False,False
0,state_0dbcfe05a18850b3,assistant_delta,18,7,57,74,False,True,False
0,state_60f5719730e443c0,tool_observation,13,7,57,74,False,False,False
0,state_6b88c684bf09d379,assistant_delta,216,0,,,False,False,False
0,state_b8213f12500ef8ec,assistant_delta,18,6,60,74,False,True,False
0,state_acb26c27816c2456,tool_observation,13,6,60,74,False,False,False
0,state_3ed410a1732cd450,assistant_delta,220,0,,,False,False,False
0,state_4204b47de47a6753,assistant_delta,18,5,63,74,False,True,False
0,state_bd4f288a91dddbab,tool_observation,13,5,63,74,False,False,False
0,state_b10dda940518a3ea,assistant_delta,216,0,,,False,False,False
0,state_5c7c43bfad1e9f16,assistant_delta,18,4,66,74,False,True,False
0,state_b1baf3343dc167da,tool_observation,13,4,66,74,False,False,False
