cur_tool,next_tool,count,probability
bash_command,bash_command,1632,0.9527145359019265
execute_bash,execute_bash,783,0.8122406639004149
none/unknown,none/unknown,624,0.6123650637880275
str_replace_editor,str_replace_editor,329,0.6714285714285714
bash,none/unknown,172,0.7962962962962963
str_replace_editor,execute_bash,151,0.3081632653061224
execute_bash,str_replace_editor,134,0.13900414937759337
none/unknown,bash_command,127,0.12463199214916584
none/unknown,write,90,0.08832188420019627
none/unknown,bash,86,0.08439646712463199
write,bash,77,0.8461538461538461
bash_command,none/unknown,61,0.03561004086398132
run_shell_command,run_shell_command,44,0.676923076923077
bash,bash,35,0.16203703703703703
execute_ipython_cell,execute_ipython_cell,29,0.6904761904761905
execute,execute,25,0.4716981132075472
shell,shell,24,0.6857142857142857
task_tracker,task_tracker,22,0.5789473684210527
write_file,execute,20,0.7692307692307693
execute,write_file,20,0.37735849056603776
none/unknown,read,20,0.019627085377821395
bash_command,mark_task_complete,20,0.011675423234092236
read,edit,19,0.41304347826086957
todowrite,none/unknown,18,0.6
replace,replace,17,0.5151515151515151
edit,none/unknown,17,0.3469387755102041
think,think,15,0.5
replace,run_shell_command,15,0.45454545454545453
none/unknown,edit,15,0.014720314033366046
read,read,14,0.30434782608695654
edit,edit,14,0.2857142857142857
none/unknown,todowrite,14,0.013738959764474975
think,str_replace_editor,13,0.43333333333333335
finish,none/unknown,12,1.0
shell,none/unknown,11,0.3142857142857143
execute_bash,execute_ipython_cell,11,0.011410788381742738
execute_bash,task_tracker,11,0.011410788381742738
none/unknown,shell,11,0.010794896957801767
mark_task_complete,mark_task_complete,10,1.0
task_tracker,execute_bash,10,0.2631578947368421
execute_ipython_cell,execute_bash,10,0.23809523809523808
write,none/unknown,10,0.10989010989010989
read,none/unknown,9,0.1956521739130435
edit,read,9,0.1836734693877551
execute_bash,finish,9,0.00933609958506224
none/unknown,str_replace_editor,9,0.008832188420019628
bash,todowrite,8,0.037037037037037035
execute_bash,none/unknown,8,0.008298755186721992
execute_bash,think,8,0.008298755186721992
none/unknown,execute_bash,8,0.007850834151128557
read_file,execute,7,0.3888888888888889
todowrite,bash,7,0.23333333333333334
edit,bash,7,0.14285714285714285
execute,read_file,7,0.1320754716981132
run_shell_command,read_file,7,0.1076923076923077
run_shell_command,replace,7,0.1076923076923077
read_file,replace,6,0.3333333333333333
str_replace_editor,think,6,0.012244897959183673
write_file,write_file,4,0.15384615384615385
write,todowrite,4,0.04395604395604396
search_file_content,replace,3,0.75
execute_ipython_cell,str_replace_editor,3,0.07142857142857142
read,bash,3,0.06521739130434782
run_shell_command,none/unknown,3,0.046153846153846156
run_shell_command,search_file_content,3,0.046153846153846156
none/unknown,grep,3,0.002944062806673209
none/unknown,run_shell_command,3,0.002944062806673209
none/unknown,task_tracker,3,0.002944062806673209
grep,grep,2,0.2857142857142857
grep,none/unknown,2,0.2857142857142857
read_file,read_file,2,0.1111111111111111
read_file,run_shell_command,2,0.1111111111111111
think,execute_bash,2,0.06666666666666667
todowrite,read,2,0.06666666666666667
task_tracker,finish,2,0.05263157894736842
task_tracker,str_replace_editor,2,0.05263157894736842
str_replace_editor,task_tracker,2,0.004081632653061225
bashoutput,none/unknown,1,1.0
task,none/unknown,1,1.0
glob,bash,1,0.5
glob,glob,1,0.5
search_file_content,search_file_content,1,0.25
grep,edit,1,0.14285714285714285
grep,read,1,0.14285714285714285
grep,todowrite,1,0.14285714285714285
read_file,none/unknown,1,0.05555555555555555
write_file,none/unknown,1,0.038461538461538464
write_file,run_shell_command,1,0.038461538461538464
todowrite,grep,1,0.03333333333333333
todowrite,todowrite,1,0.03333333333333333
todowrite,write,1,0.03333333333333333
replace,read_file,1,0.030303030303030304
task_tracker,execute_ipython_cell,1,0.02631578947368421
task_tracker,think,1,0.02631578947368421
read,todowrite,1,0.021739130434782608
edit,grep,1,0.02040816326530612
edit,todowrite,1,0.02040816326530612
execute,none/unknown,1,0.018867924528301886
run_shell_command,write_file,1,0.015384615384615385
bash,glob,1,0.004629629629629629
