tool_name,phase,count,trace_count,pct_steps
execute_bash,execute/test,670,14,0.13150147203140333
bash_command,execute/test,657,59,0.12894995093228656
none/unknown,unknown,514,88,0.10088321884200196
str_replace_editor,edit/write,490,14,0.09617271835132483
bash_command,verify/final,363,58,0.07124631992149166
bash_command,edit/write,317,50,0.062217860647693815
execute_bash,explore/read,240,13,0.047105004906771344
bash_command,explore/read,217,31,0.04259077526987243
bash,execute/test,216,8,0.04239450441609421
bash_command,retrieve/browser,205,24,0.040235525024533855
none/unknown,retrieve/browser,195,15,0.038272816486751716
none/unknown,verify/final,140,34,0.02747791952894995
none/unknown,execute/test,125,46,0.02453385672227674
write,edit/write,91,7,0.01786064769381747
run_shell_command,execute/test,64,3,0.012561334641805692
execute,unknown,53,1,0.010402355250245339
edit,edit/write,49,4,0.009617271835132482
read,explore/read,46,8,0.009028459273797841
none/unknown,explore/read,45,17,0.008832188420019628
execute_ipython_cell,execute/test,39,6,0.007654563297350344
task_tracker,unknown,37,3,0.0072620215897939155
shell,unknown,35,5,0.0068694798822374874
none/unknown,edit/write,33,14,0.00647693817468106
replace,edit/write,33,3,0.00647693817468106
todowrite,edit/write,30,5,0.005888125613346418
execute_bash,edit/write,26,5,0.005103042198233563
execute_bash,retrieve/browser,26,6,0.005103042198233563
write_file,edit/write,26,2,0.005103042198233563
think,unknown,25,6,0.004906771344455349
mark_task_complete,unknown,18,12,0.0035328753680078507
read_file,explore/read,18,4,0.0035328753680078507
finish,verify/final,12,12,0.0023552502453385673
grep,explore/read,7,2,0.0013738959764474975
mark_task_complete,execute/test,6,6,0.0011776251226692837
mark_task_complete,retrieve/browser,4,4,0.0007850834151128558
execute_ipython_cell,explore/read,3,2,0.0005888125613346418
mark_task_complete,verify/final,3,3,0.0005888125613346418
search_file_content,edit/write,3,1,0.0005888125613346418
execute_bash,verify/final,2,1,0.0003925417075564279
glob,explore/read,2,1,0.0003925417075564279
bashoutput,execute/test,1,1,0.00019627085377821394
run_shell_command,verify/final,1,1,0.00019627085377821394
search_file_content,explore/read,1,1,0.00019627085377821394
task,unknown,1,1,0.00019627085377821394
task_tracker,edit/write,1,1,0.00019627085377821394
think,edit/write,1,1,0.00019627085377821394
think,execute/test,1,1,0.00019627085377821394
think,explore/read,1,1,0.00019627085377821394
think,retrieve/browser,1,1,0.00019627085377821394
think,verify/final,1,1,0.00019627085377821394
