src,dst,edge_type,token_size,metadata
S_task,O_debate_r0_a0,consume,1000,{}
S_document,O_debate_r0_a0,consume,1000,{}
S_rubric,O_debate_r0_a0,consume,1000,{}
S_role_instruction,O_debate_r0_a0,consume,1000,{}
S_round_0_stance_0,O_debate_r0_a0,consume,445,{}
O_debate_r0_a0,S_debate_r0_a0,produce,208,{}
S_task,O_debate_r0_a1,consume,1000,{}
S_document,O_debate_r0_a1,consume,1000,{}
S_rubric,O_debate_r0_a1,consume,1000,{}
S_role_instruction,O_debate_r0_a1,consume,1000,{}
S_round_0_stance_1,O_debate_r0_a1,consume,396,{}
O_debate_r0_a1,S_debate_r0_a1,produce,285,{}
S_task,O_debate_r0_a2,consume,1000,{}
S_document,O_debate_r0_a2,consume,1000,{}
S_rubric,O_debate_r0_a2,consume,1000,{}
S_role_instruction,O_debate_r0_a2,consume,1000,{}
S_round_0_stance_2,O_debate_r0_a2,consume,408,{}
O_debate_r0_a2,S_debate_r0_a2,produce,225,{}
S_task,O_debate_r0_a3,consume,1000,{}
S_document,O_debate_r0_a3,consume,1000,{}
S_rubric,O_debate_r0_a3,consume,1000,{}
S_role_instruction,O_debate_r0_a3,consume,1000,{}
S_round_0_stance_3,O_debate_r0_a3,consume,309,{}
O_debate_r0_a3,S_debate_r0_a3,produce,217,{}
S_debate_r0_a0,O_transcript_r0,consume,208,{}
S_debate_r0_a1,O_transcript_r0,consume,285,{}
S_debate_r0_a2,O_transcript_r0,consume,225,{}
S_debate_r0_a3,O_transcript_r0,consume,217,{}
O_transcript_r0,S_transcript_r0,produce,935,{}
S_task,O_debate_r1_a0,consume,1000,{}
S_document,O_debate_r1_a0,consume,1000,{}
S_rubric,O_debate_r1_a0,consume,1000,{}
S_role_instruction,O_debate_r1_a0,consume,1000,{}
S_round_1_stance_0,O_debate_r1_a0,consume,383,{}
S_transcript_r0,O_debate_r1_a0,consume,935,{}
O_debate_r1_a0,S_debate_r1_a0,produce,299,{}
S_task,O_debate_r1_a1,consume,1000,{}
S_document,O_debate_r1_a1,consume,1000,{}
S_rubric,O_debate_r1_a1,consume,1000,{}
S_role_instruction,O_debate_r1_a1,consume,1000,{}
S_round_1_stance_1,O_debate_r1_a1,consume,399,{}
S_transcript_r0,O_debate_r1_a1,consume,935,{}
O_debate_r1_a1,S_debate_r1_a1,produce,315,{}
S_task,O_debate_r1_a2,consume,1000,{}
S_document,O_debate_r1_a2,consume,1000,{}
S_rubric,O_debate_r1_a2,consume,1000,{}
S_role_instruction,O_debate_r1_a2,consume,1000,{}
S_round_1_stance_2,O_debate_r1_a2,consume,438,{}
S_transcript_r0,O_debate_r1_a2,consume,935,{}
O_debate_r1_a2,S_debate_r1_a2,produce,189,{}
S_task,O_debate_r1_a3,consume,1000,{}
S_document,O_debate_r1_a3,consume,1000,{}
S_rubric,O_debate_r1_a3,consume,1000,{}
S_role_instruction,O_debate_r1_a3,consume,1000,{}
S_round_1_stance_3,O_debate_r1_a3,consume,387,{}
S_transcript_r0,O_debate_r1_a3,consume,935,{}
O_debate_r1_a3,S_debate_r1_a3,produce,186,{}
S_debate_r1_a0,O_transcript_r1,consume,299,{}
S_debate_r1_a1,O_transcript_r1,consume,315,{}
S_debate_r1_a2,O_transcript_r1,consume,189,{}
S_debate_r1_a3,O_transcript_r1,consume,186,{}
O_transcript_r1,S_transcript_r1,produce,989,{}
S_task,O_judge,consume,1000,{}
S_rubric,O_judge,consume,1000,{}
S_transcript_r1,O_judge,consume,989,{}
O_judge,S_verdict,produce,275,{}
