op_id,dependencies,estimated_input_tokens,estimated_output_tokens,prefill_cost,decode_cost,local_tool_cost,criticality,earliest_ready_time,kind,role,metadata,total_cost,workflow
O_expert_0,[],3445,208,6.890000000000001,1.248,0.0,1.0,0.0,llm,expert_0,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""expert_0""}",8.138,mapreduce
O_expert_1,[],3396,285,6.792,1.71,0.0,1.0,0.0,llm,expert_1,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""expert_1""}",8.501999999999999,mapreduce
O_expert_2,[],3408,225,6.816,1.35,0.0,1.0,0.0,llm,expert_2,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""expert_2""}",8.166,mapreduce
O_expert_3,[],3309,217,6.618,1.302,0.0,1.0,0.0,llm,expert_3,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""expert_3""}",7.92,mapreduce
O_summarizer,"[""O_expert_0"", ""O_expert_1"", ""O_expert_2"", ""O_expert_3""]",2935,251,5.87,1.506,0.0,2.0,8.501999999999999,llm,summarizer,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""summarizer""}",7.376,mapreduce
O_debate_r0_a0,[],4445,208,8.89,1.248,0.0,1.0,0.0,llm,debater_0,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""debater_0""}",10.138,debate
O_debate_r0_a1,[],4396,285,8.792,1.71,0.0,1.0,0.0,llm,debater_1,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""debater_1""}",10.501999999999999,debate
O_debate_r0_a2,[],4408,225,8.816,1.35,0.0,1.0,0.0,llm,debater_2,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""debater_2""}",10.166,debate
O_debate_r0_a3,[],4309,217,8.618,1.302,0.0,1.0,0.0,llm,debater_3,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""debater_3""}",9.92,debate
O_transcript_r0,"[""O_debate_r0_a0"", ""O_debate_r0_a1"", ""O_debate_r0_a2"", ""O_debate_r0_a3""]",935,935,0.0,0.0,0.5675,0.8,10.501999999999999,aggregate,transcript_builder,"{""phase_profile"": ""mixed"", ""source_role"": ""transcript_builder""}",0.5675,debate
O_debate_r1_a0,"[""O_transcript_r0""]",5318,299,10.636000000000001,1.794,0.0,1.0,11.0695,llm,debater_0,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""debater_0""}",12.430000000000001,debate
O_debate_r1_a1,"[""O_transcript_r0""]",5334,315,10.668000000000001,1.8900000000000001,0.0,1.0,11.0695,llm,debater_1,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""debater_1""}",12.558000000000002,debate
O_debate_r1_a2,"[""O_transcript_r0""]",5373,189,10.746,1.1340000000000001,0.0,1.0,11.0695,llm,debater_2,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""debater_2""}",11.88,debate
O_debate_r1_a3,"[""O_transcript_r0""]",5322,186,10.644,1.116,0.0,1.0,11.0695,llm,debater_3,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""debater_3""}",11.76,debate
